Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M219,yes,yes,1,linear,summed,log,r_cos,space
M220,yes,yes,1,linear,summed,log,r_cos,graph
M221,yes,yes,1,linear,summed,log,r_corr,space
M222,yes,yes,1,linear,summed,log,r_corr,graph
M223,yes,yes,1,linear,summed,log,cooc,space
M224,yes,yes,1,linear,summed,log,cooc,graph
M225,yes,yes,1,linear,summed,ppmi,distance,space
M226,yes,yes,1,linear,summed,ppmi,distance,graph
M227,yes,yes,1,linear,summed,ppmi,cos,space
M228,yes,yes,1,linear,summed,ppmi,cos,graph
M229,yes,yes,1,linear,summed,ppmi,corr,space
M230,yes,yes,1,linear,summed,ppmi,corr,graph
M231,yes,yes,1,linear,summed,ppmi,r_distance,space
M232,yes,yes,1,linear,summed,ppmi,r_distance,graph
M233,yes,yes,1,linear,summed,ppmi,r_cos,space
M234,yes,yes,1,linear,summed,ppmi,r_cos,graph
M235,yes,yes,1,linear,summed,ppmi,r_corr,space
M236,yes,yes,1,linear,summed,ppmi,r_corr,graph
M237,yes,yes,1,linear,summed,ppmi,cooc,space
M238,yes,yes,1,linear,summed,ppmi,cooc,graph
M239,yes,yes,1,linear,summed,non,distance,space
M240,yes,yes,1,linear,summed,non,distance,graph
M241,yes,yes,1,linear,summed,non,cos,space
M242,yes,yes,1,linear,summed,non,cos,graph
M243,yes,yes,1,linear,summed,non,corr,space
M244,yes,yes,1,linear,summed,non,corr,graph
M245,yes,yes,1,linear,summed,non,r_distance,space
M246,yes,yes,1,linear,summed,non,r_distance,graph
M247,yes,yes,1,linear,summed,non,r_cos,space
M248,yes,yes,1,linear,summed,non,r_cos,graph
M249,yes,yes,1,linear,summed,non,r_corr,space
M250,yes,yes,1,linear,summed,non,r_corr,graph
M251,yes,yes,1,linear,summed,non,cooc,space
M252,yes,yes,1,linear,summed,non,cooc,graph
M253,yes,yes,2,flat,forward,log,distance,space
M254,yes,yes,2,flat,forward,log,distance,graph
M255,yes,yes,2,flat,forward,log,cos,space
M256,yes,yes,2,flat,forward,log,cos,graph
M257,yes,yes,2,flat,forward,log,corr,space
M258,yes,yes,2,flat,forward,log,corr,graph
M259,yes,yes,2,flat,forward,log,r_distance,space
M260,yes,yes,2,flat,forward,log,r_distance,graph
M261,yes,yes,2,flat,forward,log,r_cos,space
M262,yes,yes,2,flat,forward,log,r_cos,graph
M263,yes,yes,2,flat,forward,log,r_corr,space
M264,yes,yes,2,flat,forward,log,r_corr,graph
M265,yes,yes,2,flat,forward,log,cooc,space
M266,yes,yes,2,flat,forward,log,cooc,graph
M267,yes,yes,2,flat,forward,ppmi,distance,space
M268,yes,yes,2,flat,forward,ppmi,distance,graph
M269,yes,yes,2,flat,forward,ppmi,cos,space
M270,yes,yes,2,flat,forward,ppmi,cos,graph
M271,yes,yes,2,flat,forward,ppmi,corr,space
M272,yes,yes,2,flat,forward,ppmi,corr,graph
M273,yes,yes,2,flat,forward,ppmi,r_distance,space
M274,yes,yes,2,flat,forward,ppmi,r_distance,graph
M275,yes,yes,2,flat,forward,ppmi,r_cos,space
M276,yes,yes,2,flat,forward,ppmi,r_cos,graph
M277,yes,yes,2,flat,forward,ppmi,r_corr,space
M278,yes,yes,2,flat,forward,ppmi,r_corr,graph
M279,yes,yes,2,flat,forward,ppmi,cooc,space
M280,yes,yes,2,flat,forward,ppmi,cooc,graph
M281,yes,yes,2,flat,forward,non,distance,space
M282,yes,yes,2,flat,forward,non,distance,graph
M283,yes,yes,2,flat,forward,non,cos,space
M284,yes,yes,2,flat,forward,non,cos,graph
M285,yes,yes,2,flat,forward,non,corr,space
M286,yes,yes,2,flat,forward,non,corr,graph
M287,yes,yes,2,flat,forward,non,r_distance,space
M288,yes,yes,2,flat,forward,non,r_distance,graph
M289,yes,yes,2,flat,forward,non,r_cos,space
M290,yes,yes,2,flat,forward,non,r_cos,graph
M291,yes,yes,2,flat,forward,non,r_corr,space
M292,yes,yes,2,flat,forward,non,r_corr,graph
M293,yes,yes,2,flat,forward,non,cooc,space
M294,yes,yes,2,flat,forward,non,cooc,graph
M295,yes,yes,2,flat,backward,log,distance,space
