,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
124,M125,yes,yes,1,flat,summed,non,cooc,space,0.7839621961624959,0.005919497420222888
125,M126,yes,yes,1,flat,summed,non,cooc,graph,0.3415259395298663,0.011581389948839647
126,M127,yes,yes,1,linear,forward,log,distance,space,0.7431115898648021,0.009387582576783488
127,M128,yes,yes,1,linear,forward,log,distance,graph,0.7275731623916499,0.008935716794614546
128,M129,yes,yes,1,linear,forward,log,cos,space,0.7558827071067171,0.002511757103677287
129,M130,yes,yes,1,linear,forward,log,cos,graph,0.7182399219336875,0.004460422203087897
130,M131,yes,yes,1,linear,forward,log,corr,space,-0.7431115898648021,0.009387582576783488
131,M132,yes,yes,1,linear,forward,log,corr,graph,-0.43270755481247647,0.0848972610486128
132,M133,yes,yes,1,linear,forward,log,r_distance,space,0.7463461382077375,0.008119176100935988
133,M134,yes,yes,1,linear,forward,log,r_distance,graph,0.6618447168941324,0.03937701381747644
134,M135,yes,yes,1,linear,forward,log,r_cos,space,0.15086597469212307,0.13909023020410113
135,M136,yes,yes,1,linear,forward,log,r_cos,graph,0.1996106538270396,0.22003502737861844
136,M137,yes,yes,1,linear,forward,log,r_corr,space,0.2009179726055345,0.3216389274510592
137,M138,yes,yes,1,linear,forward,log,r_corr,graph,0.37717882994065877,0.20457259168539543
138,M139,yes,yes,1,linear,forward,log,cooc,space,0.5668714356300688,0.01321807345495782
139,M140,yes,yes,1,linear,forward,log,cooc,graph,0.7317085006412765,0.035569351629621326
140,M141,yes,yes,1,linear,forward,ppmi,distance,space,0.7239900003742791,0.010310569807192728
141,M142,yes,yes,1,linear,forward,ppmi,distance,graph,0.6127383859451174,0.02425497042985317
142,M143,yes,yes,1,linear,forward,ppmi,cos,space,0.7558827071067171,0.002511757103677287
143,M144,yes,yes,1,linear,forward,ppmi,cos,graph,0.7182399219336875,0.004460422203087897
144,M145,yes,yes,1,linear,forward,ppmi,corr,space,-0.7119581735252092,0.008098015706958919
145,M146,yes,yes,1,linear,forward,ppmi,corr,graph,-0.3570522744377633,0.06832486963032586
146,M147,yes,yes,1,linear,forward,ppmi,r_distance,space,0.7374969984685046,0.018009965572020108
147,M148,yes,yes,1,linear,forward,ppmi,r_distance,graph,0.6491003070724647,0.017045249833012692
148,M149,yes,yes,1,linear,forward,ppmi,r_cos,space,-0.19323011943674323,0.1625602206434954
149,M150,yes,yes,1,linear,forward,ppmi,r_cos,graph,-0.1200156515431445,0.25906460221714606
150,M151,yes,yes,1,linear,forward,ppmi,r_corr,space,-0.1674093373958367,0.2688358571888943
151,M152,yes,yes,1,linear,forward,ppmi,r_corr,graph,0.18690657086000725,0.22380408692716633
152,M153,yes,yes,1,linear,forward,ppmi,cooc,space,0.576808440785362,0.012925540340210453
153,M154,yes,yes,1,linear,forward,ppmi,cooc,graph,0.8014488590887712,0.019465315809995398
154,M155,yes,yes,1,linear,forward,non,distance,space,0.6802345627533389,0.0079449416822571
155,M156,yes,yes,1,linear,forward,non,distance,graph,0.6296574018161843,0.02247405341549336
156,M157,yes,yes,1,linear,forward,non,cos,space,0.7558827071067171,0.002511757103677287
157,M158,yes,yes,1,linear,forward,non,cos,graph,0.7182399219336875,0.004460422203087897
158,M159,yes,yes,1,linear,forward,non,corr,space,-0.736909426896718,0.008718106960438926
159,M160,yes,yes,1,linear,forward,non,corr,graph,-0.23171554904436267,0.07165937449654322
160,M161,yes,yes,1,linear,forward,non,r_distance,space,0.6792460218955778,0.00746664534353275
161,M162,yes,yes,1,linear,forward,non,r_distance,graph,0.6303882963698145,0.022833623064115682
162,M163,yes,yes,1,linear,forward,non,r_cos,space,0.20181120181825193,0.1674828382355675
163,M164,yes,yes,1,linear,forward,non,r_cos,graph,0.3300949519026598,0.07591986559986394
164,M165,yes,yes,1,linear,forward,non,r_corr,space,-0.2834389552283523,0.4814290102912644
165,M166,yes,yes,1,linear,forward,non,r_corr,graph,0.15238377154253768,0.12871316731822094
166,M167,yes,yes,1,linear,forward,non,cooc,space,0.6042085865718048,0.0053132130459832266
167,M168,yes,yes,1,linear,forward,non,cooc,graph,0.700420934676518,0.010054966658204129
168,M169,yes,yes,1,linear,backward,log,distance,space,0.7281938209634512,0.003014886144335525
169,M170,yes,yes,1,linear,backward,log,distance,graph,0.7417844045749499,0.0103532641644112
170,M171,yes,yes,1,linear,backward,log,cos,space,0.7350522239042379,0.002485639490580583
171,M172,yes,yes,1,linear,backward,log,cos,graph,0.5297491846426592,0.04412787972951602
172,M173,yes,yes,1,linear,backward,log,corr,space,-0.7284069238129959,0.0031010304481542714
173,M174,yes,yes,1,linear,backward,log,corr,graph,-0.7423552287570998,0.01168528353214123
174,M175,yes,yes,1,linear,backward,log,r_distance,space,0.7341514573504315,0.0037345976660770495
175,M176,yes,yes,1,linear,backward,log,r_distance,graph,0.5225882516369063,0.005077165322632507
176,M177,yes,yes,1,linear,backward,log,r_cos,space,-0.4687468018585662,0.03310128276455021
177,M178,yes,yes,1,linear,backward,log,r_cos,graph,-0.22224080636333335,0.049158205847433425
178,M179,yes,yes,1,linear,backward,log,r_corr,space,0.7203006761536541,0.008629843544037947
179,M180,yes,yes,1,linear,backward,log,r_corr,graph,0.6931091419696602,0.016671872498241733
180,M181,yes,yes,1,linear,backward,log,cooc,space,0.49489274883026707,0.008364786912254023
181,M182,yes,yes,1,linear,backward,log,cooc,graph,0.7068478337736139,0.011744946438400213
182,M183,yes,yes,1,linear,backward,ppmi,distance,space,0.7609615187459873,0.004172339481241981
183,M184,yes,yes,1,linear,backward,ppmi,distance,graph,0.3563572766562682,0.009703383075109148
184,M185,yes,yes,1,linear,backward,ppmi,cos,space,0.7496447843589278,0.002478470769948945
185,M186,yes,yes,1,linear,backward,ppmi,cos,graph,0.6685495738527841,0.01666854451174995
186,M187,yes,yes,1,linear,backward,ppmi,corr,space,-0.1326277801111523,0.043146850184474936
187,M188,yes,yes,1,linear,backward,ppmi,corr,graph,0.011476592340120087,0.03953008198217598
188,M189,yes,yes,1,linear,backward,ppmi,r_distance,space,0.7569259814854709,0.004980429280872859
189,M190,yes,yes,1,linear,backward,ppmi,r_distance,graph,0.3554101076904639,0.011079956567591953
190,M191,yes,yes,1,linear,backward,ppmi,r_cos,space,0.32287088694321,0.06560692939240079
191,M192,yes,yes,1,linear,backward,ppmi,r_cos,graph,0.28313391549117395,0.023120726300960223
192,M193,yes,yes,1,linear,backward,ppmi,r_corr,space,0.22221002510675641,0.2992315287405271
193,M194,yes,yes,1,linear,backward,ppmi,r_corr,graph,0.38899998908947986,0.052846638772086584
194,M195,yes,yes,1,linear,backward,ppmi,cooc,space,0.48793438304955056,0.007730598373426949
195,M196,yes,yes,1,linear,backward,ppmi,cooc,graph,0.8030383206639199,0.01573637616268682
196,M197,yes,yes,1,linear,backward,non,distance,space,0.7036847361085943,0.00696808824125342
197,M198,yes,yes,1,linear,backward,non,distance,graph,0.6765967987106858,0.02037093138339048
198,M199,yes,yes,1,linear,backward,non,cos,space,0.7177904638181055,0.002376163216850771
